[Cabalist]
Base Class=Mage
Primary Attribute=Intelligence
Secondary Attribute=Dexterity
Tertiary Attribute=Quickness
Multiplier=1
Description=Cabalist are Mages that have embraced the spiritual side of magic and engage in studies of spirit destruction and creation. Their specialty is creating Golems out of inanimate matter that can be commanded to do their bidding.
Specialisation 1=Vivification
Specialisation 1 Level=5
Specialisation 1 Cap=1
Specialisation 2=Essence Manipulation
Specialisation 2 Level=5
Specialisation 2 Cap=1
Specialisation 3=Matter Manipulation
Specialisation 3 Level=5
Specialisation 3 Cap=1
Line 1=Body Destruction
Line 1 Level=1
Line 2=Matter
Line 2 Level=1
Line 3=Spirit Animation
Line 3 Level=5
Armor 1=Cloth
Armor 1 Level=1
[Vivification]
Description=When a Cabalist specializes in Spirit Animation, this skill is opened to him. It deals with pet buffing spells, and roots.
Style 1=Detect Flaw
Style 1 Level=1
Style 1 Description=Pet Dmg. Add, 1.2 Dmg. / sec.
Style 2=Find Flaw
Style 2 Level=4
Style 2 Description=Pet Dmg. Add, 1.9 Dmg. / sec.
Style 3=Encourage Aggression
Style 3 Level=6
Style 3 Description=+11% Pet Attack Speed
Style 4=Discover Flaw
Style 4 Level=7
Style 4 Description=Pet Dmg. Add, 2.6 Dmg. / sec.
Style 5=Enhance Aggression
Style 5 Level=9
Style 5 Description=+14% Pet Attack Speed
Style 6=Expose Flaw
Style 6 Level=10
Style 6 Description=Pet Dmg. Add, 3.3 Dmg. / sec.
Style 7=Convert Spirit
Style 7 Level=10
Style 7 Description=Unsummon pet for power gain
Style 8=Strengthen Golem
Style 8 Level=11
Style 8 Description=+X pet Strength & Constitution
Style 9=Hurry Golem
Style 9 Level=12
Style 9 Description=+X pet Dexterity & Quickness
Style 10=Amplify Aggression
Style 10 Level=14
Style 10 Description=+17% Pet Attack Speed
Style 11=Pinpoint Flaw
Style 11 Level=15
Style 11 Description=Pet Dmg. Add, 4.5 Dmg. / sec.
Style 12=Invigorate Golem
Style 12 Level=18
Style 12 Description=+X pet Strength & Constitution
Style 13=Animate Golem
Style 13 Level=19
Style 13 Description=+X pet Dexterity & Quickness
Style 14=Illumiate Flaw
Style 14 Level=20
Style 14 Description=Pet Dmg. Add, 5.7 Dmg. / sec.
Style 15=Increase Aggression
Style 15 Level=21
Style 15 Description=+20% Pet Attack Speed
Style 16=Diminish Immunities
Style 16 Level=22
Style 16 Description=-X% Spirit Resistaince
Style 17=Constrict Spirit
Style 17 Level=23
Style 17 Description=Single Target Snare for 66 sec.
Style 18=Diminish Will
Style 18 Level=24
Style 18 Description=-X% Body Resistaince
Style 19=Unveil Flaw
Style 19 Level=26
Style 19 Description=Pet Dmg. Add, 7.2 Dmg. / sec.
Style 20=Diminish Conductivity
Style 20 Level=28
Style 20 Description=-X% Energy Resistaince
