[Warden]
Base Class=Naturalist
Primary Attribute=Empathy
Secondary Attribute=Strength
Tertiary Attribute=Constitution
Multiplier=1.5
Description=A fighting class whose first steps were along the Way of Nature, Wardens can fight very well using a variety of armor and weapons, as well as receive druidic spells to aid themselves as well as their realmmates.
Specialisation 1=Blades
Specialisation 1 Level=5
Specialisation 1 Cap=1
Specialisation 2=Warden Regrowth Spec
Specialisation 2 Level=5
Specialisation 2 Cap=1
Specialisation 3=Warden Nurturing Spec
Specialisation 3 Level=5
Specialisation 3 Cap=1
Specialisation 4=Blunt
Specialisation 4 Level=5
Specialisation 4 Cap=1
Specialisation 5=Parry
Specialisation 5 Level=15
Specialisation 5 Cap=1
Line 1=Regrowth
Line 1 Level=1
Line 2=Nurturing
Line 2 Level=1
Armor 1=Small Shields
Armor 1 Level=1
Armor 2=Leather
Armor 2 Level=1
Armor 3=Cloth
Armor 3 Level=1
Armor 4=Medium Shields
Armor 4 Level=5
Armor 5=Reinforced
Armor 5 Level=10
Armor 6=Scale
Armor 6 Level=20
Other 1=Shortbow
Other 1 Level=7
[Blades]
Description=The ability to use one-handed bladed weapons of all kinds. Training in the Blade Skill results in a decreased damage variance and gives you access to the combat styles.
Style 1=Shining Blade
Style 1 Level=2
Style 1 Description=High fatigue cost, medium bonus damage
Style 2=Return Blade
Style 2 Level=4
Style 2 Description=Low fatigue cost, use after blocking target, medium bonus damage, small attack speed reduction, medium bonus to hit
Style 3=Taunting Blade
Style 3 Level=6
Style 3 Description=Medium fatigue cost, low bonus damage, attempt to taunt enemy to attack you, medium penalty to defense
Style 4=Enervating Blade
Style 4 Level=8
Style 4 Description=Medium fatigue cost, no bonus damage, attempt to taunt target off you, medium bonus to defense
Style 5=Glowing Blade
Style 5 Level=10
Style 5 Description=Medium fatigue cost, use from beside enemy, medium bonus damage, medium duration movement reduction, medium bonus to hit
Style 6=Lunging Blade
Style 6 Level=12
Style 6 Description=Medium fatigue cost, use after successful Return Blade, medium bonus damage, short duration bleed, medium bonus to hit, small bonus to defense
Style 7=Auroric Blade
Style 7 Level=15
Style 7 Description=Low fatigue cost, use after successful Glowing Blade, medium bonus damage, small attack speed reduction, medium bonus to hit
Style 8=Fire Blade
Style 8 Level=18
Style 8 Description=High fatigue cost, use any time, medium bonus damage, small bonus to hit, small penalty to defense
Style 9=Horizon Blade
Style 9 Level=21
Style 9 Description=Low fatigue cost, use after blocking enemy, medium bonus damage, short duration stun, medium bonus to hit, small bonus to defense
Style 10=Kinetic Blade
Style 10 Level=25
Style 10 Description=Medium fatigue cost, use after successful Lunging Blade, high bonus damage, medium bonus to hit
Style 11=Dancing Blade
Style 11 Level=29
Style 11 Description=Low fatigue cost, use after successful Horizon Blade, medium bonus damage, medium duration bleed, high bonus to hit
